id,name,created_at,updated_at
148,"GigabitEthernet4/0/16",now(),now()
149,"GigabitEthernet4/0/17",now(),now()
150,"GigabitEthernet4/0/18",now(),now()
151,"GigabitEthernet4/0/19",now(),now()
152,"GigabitEthernet4/0/2",now(),now()
153,"GigabitEthernet4/0/20",now(),now()
154,"GigabitEthernet4/0/21",now(),now()
155,"GigabitEthernet4/0/22",now(),now()
156,"GigabitEthernet4/0/23",now(),now()
157,"GigabitEthernet4/0/24",now(),now()
158,"GigabitEthernet4/0/25",now(),now()
159,"GigabitEthernet4/0/26",now(),now()
160,"GigabitEthernet4/0/27",now(),now()
161,"GigabitEthernet4/0/28",now(),now()
162,"GigabitEthernet4/0/29",now(),now()
163,"GigabitEthernet4/0/3",now(),now()
164,"GigabitEthernet4/0/30",now(),now()
165,"GigabitEthernet4/0/31",now(),now()
166,"GigabitEthernet4/0/32",now(),now()
167,"GigabitEthernet4/0/33",now(),now()
168,"GigabitEthernet4/0/34",now(),now()
169,"GigabitEthernet4/0/35",now(),now()
170,"GigabitEthernet4/0/36",now(),now()
171,"GigabitEthernet4/0/37",now(),now()
172,"GigabitEthernet4/0/38",now(),now()
173,"GigabitEthernet4/0/39",now(),now()
174,"GigabitEthernet4/0/4",now(),now()
175,"GigabitEthernet4/0/40",now(),now()
176,"GigabitEthernet4/0/41",now(),now()
177,"GigabitEthernet4/0/42",now(),now()
178,"GigabitEthernet4/0/43",now(),now()
179,"GigabitEthernet4/0/44",now(),now()
180,"GigabitEthernet4/0/45",now(),now()
181,"GigabitEthernet4/0/46",now(),now()
182,"GigabitEthernet4/0/47",now(),now()
183,"GigabitEthernet4/0/48",now(),now()
184,"GigabitEthernet4/0/5",now(),now()
185,"GigabitEthernet4/0/6",now(),now()
186,"GigabitEthernet4/0/7",now(),now()
187,"GigabitEthernet4/0/8",now(),now()
188,"GigabitEthernet4/0/9",now(),now()
189,"GigabitEthernet6/0/1",now(),now()
190,"GigabitEthernet6/0/10",now(),now()
191,"GigabitEthernet6/0/11",now(),now()
192,"GigabitEthernet6/0/12",now(),now()
193,"GigabitEthernet6/0/13",now(),now()
194,"GigabitEthernet6/0/14",now(),now()
195,"GigabitEthernet6/0/15",now(),now()
196,"GigabitEthernet6/0/16",now(),now()
197,"GigabitEthernet6/0/17",now(),now()
198,"GigabitEthernet6/0/18",now(),now()
199,"GigabitEthernet6/0/19",now(),now()
200,"GigabitEthernet6/0/2",now(),now()
201,"GigabitEthernet6/0/20",now(),now()
202,"GigabitEthernet6/0/21",now(),now()
203,"GigabitEthernet6/0/22",now(),now()
204,"GigabitEthernet6/0/23",now(),now()
205,"GigabitEthernet6/0/24",now(),now()
206,"GigabitEthernet6/0/3",now(),now()
207,"GigabitEthernet6/0/4",now(),now()
208,"GigabitEthernet6/0/5",now(),now()
209,"GigabitEthernet6/0/6",now(),now()
210,"GigabitEthernet6/0/7",now(),now()
211,"GigabitEthernet6/0/8",now(),now()
212,"GigabitEthernet6/0/9",now(),now()
213,"Port 01",now(),now()
214,"Port 02",now(),now()
215,"Port 03",now(),now()
216,"Port 04",now(),now()
217,"Port 05",now(),now()
218,"Port 06",now(),now()
219,"Port 07",now(),now()
220,"Port 08",now(),now()
221,"Port 09",now(),now()
222,"Port 10",now(),now()
223,"Port 11",now(),now()
224,"Port 12",now(),now()
225,"Port 13",now(),now()
226,"Port 14",now(),now()
227,"Port 15",now(),now()
228,"Port 16",now(),now()
229,"Port 17",now(),now()
230,"Port 18",now(),now()
231,"Port 19",now(),now()
232,"Port 20",now(),now()
233,"Port 21",now(),now()
234,"Port 22",now(),now()
235,"Port 23",now(),now()
236,"Port 24",now(),now()
237,"Port 25",now(),now()
238,"Port 26",now(),now()
239,"Ten-GigabitEthernet1/0/25",now(),now()
240,"Ten-GigabitEthernet1/0/26",now(),now()
241,"Ten-GigabitEthernet1/0/27",now(),now()
242,"Ten-GigabitEthernet1/0/28",now(),now()
243,"Ten-GigabitEthernet1/0/29",now(),now()
244,"Ten-GigabitEthernet1/0/30",now(),now()
245,"Ten-GigabitEthernet2/0/1",now(),now()
246,"Ten-GigabitEthernet2/0/2",now(),now()
247,"Ten-GigabitEthernet2/0/3",now(),now()
248,"Ten-GigabitEthernet2/0/4",now(),now()
249,"Ten-GigabitEthernet2/0/5",now(),now()
250,"Ten-GigabitEthernet2/0/6",now(),now()
251,"Ten-GigabitEthernet2/0/7",now(),now()
252,"Ten-GigabitEthernet2/0/8",now(),now()
253,"Ten-GigabitEthernet5/0/1",now(),now()
254,"Ten-GigabitEthernet5/0/2",now(),now()
255,"Ten-GigabitEthernet5/0/3",now(),now()
256,"Ten-GigabitEthernet5/0/4",now(),now()
257,"Ten-GigabitEthernet5/0/5",now(),now()
258,"Ten-GigabitEthernet5/0/6",now(),now()
259,"Ten-GigabitEthernet5/0/7",now(),now()
260,"Ten-GigabitEthernet5/0/8",now(),now()
261,"Ten-GigabitEthernet8/0/1",now(),now()
262,"Ten-GigabitEthernet8/0/2",now(),now()
263,"Ten-GigabitEthernet9/0/1",now(),now()
264,"Ten-GigabitEthernet9/0/2",now(),now()
